RTIRI
File Version,1
Interval[mm],10000
ValueCount,1
VarType,SI,DOUBLE
distance[mm],value[m/km]
0,1.908995
10000,2.559649
20000,4.172185
30000,2.507107
40000,3.562117
50000,5.519394
60000,5.063897
70000,18.189060
80000,5.086505
90000,3.409355
100000,3.148412
110000,3.121010
120000,10.655605
130000,7.256850
140000,7.584818
150000,7.050813
160000,8.977912
170000,4.905829
180000,5.616943
190000,6.651604
